# GOES-R ABI PFM SRF ch 047 CWG release
# wvl [micron],  wavenum [cm-1],  relative SRF
  0.4421062       22619.0      0.00099401
  0.4421257       22618.0      0.00101366
  0.4421453       22617.0      0.00103372
  0.4421648       22616.0      0.00105418
  0.4421844       22615.0      0.00107504
  0.4422039       22614.0      0.00109631
  0.4422235       22613.0      0.00111798
  0.4422431       22612.0      0.00114005
  0.4422626       22611.0      0.00116252
  0.4422822       22610.0      0.00118540
  0.4423017       22609.0      0.00120868
  0.4423213       22608.0      0.00123236
  0.4423409       22607.0      0.00125645
  0.4423604       22606.0      0.00128094
  0.4423800       22605.0      0.00130584
  0.4423996       22604.0      0.00133114
  0.4424191       22603.0      0.00135684
  0.4424387       22602.0      0.00138295
  0.4424583       22601.0      0.00140947
  0.4424779       22600.0      0.00143639
  0.4424975       22599.0      0.00146371
  0.4425170       22598.0      0.00149144
  0.4425366       22597.0      0.00151957
  0.4425562       22596.0      0.00154811
  0.4425758       22595.0      0.00157705
  0.4425954       22594.0      0.00160640
  0.4426150       22593.0      0.00163616
  0.4426346       22592.0      0.00166632
  0.4426542       22591.0      0.00169689
  0.4426737       22590.0      0.00172786
  0.4426933       22589.0      0.00175924
  0.4427129       22588.0      0.00179121
  0.4427325       22587.0      0.00182438
  0.4427521       22586.0      0.00185879
  0.4427718       22585.0      0.00189443
  0.4427914       22584.0      0.00193129
  0.4428110       22583.0      0.00196935
  0.4428306       22582.0      0.00200862
  0.4428502       22581.0      0.00204907
  0.4428698       22580.0      0.00209071
  0.4428894       22579.0      0.00213351
  0.4429090       22578.0      0.00217748
  0.4429286       22577.0      0.00222259
  0.4429483       22576.0      0.00226885
  0.4429679       22575.0      0.00231624
  0.4429875       22574.0      0.00236476
  0.4430071       22573.0      0.00241439
  0.4430268       22572.0      0.00246528
  0.4430464       22571.0      0.00251744
  0.4430660       22570.0      0.00257086
  0.4430856       22569.0      0.00262552
  0.4431053       22568.0      0.00268141
  0.4431249       22567.0      0.00273851
  0.4431446       22566.0      0.00279679
  0.4431642       22565.0      0.00285625
  0.4431838       22564.0      0.00291688
  0.4432035       22563.0      0.00297864
  0.4432231       22562.0      0.00304152
  0.4432428       22561.0      0.00310552
  0.4432624       22560.0      0.00317061
  0.4432821       22559.0      0.00323677
  0.4433017       22558.0      0.00330399
  0.4433214       22557.0      0.00337225
  0.4433410       22556.0      0.00344154
  0.4433607       22555.0      0.00351184
  0.4433803       22554.0      0.00358313
  0.4434000       22553.0      0.00365539
  0.4434197       22552.0      0.00372862
  0.4434393       22551.0      0.00380278
  0.4434590       22550.0      0.00387787
  0.4434786       22549.0      0.00395386
  0.4434983       22548.0      0.00403075
  0.4435180       22547.0      0.00410852
  0.4435377       22546.0      0.00418714
  0.4435573       22545.0      0.00426660
  0.4435770       22544.0      0.00434688
  0.4435967       22543.0      0.00442798
  0.4436164       22542.0      0.00450986
  0.4436360       22541.0      0.00459252
  0.4436557       22540.0      0.00467593
  0.4436754       22539.0      0.00476009
  0.4436951       22538.0      0.00484497
  0.4437148       22537.0      0.00493089
  0.4437345       22536.0      0.00501873
  0.4437542       22535.0      0.00510862
  0.4437739       22534.0      0.00520066
  0.4437935       22533.0      0.00529497
  0.4438132       22532.0      0.00539164
  0.4438329       22531.0      0.00549077
  0.4438526       22530.0      0.00559247
  0.4438723       22529.0      0.00569685
  0.4438920       22528.0      0.00580401
  0.4439117       22527.0      0.00591404
  0.4439315       22526.0      0.00602706
  0.4439512       22525.0      0.00614316
  0.4439709       22524.0      0.00626246
  0.4439906       22523.0      0.00638505
  0.4440103       22522.0      0.00651087
  0.4440300       22521.0      0.00663904
  0.4440497       22520.0      0.00676944
  0.4440695       22519.0      0.00690211
  0.4440892       22518.0      0.00703707
  0.4441089       22517.0      0.00717434
  0.4441286       22516.0      0.00731395
  0.4441483       22515.0      0.00745594
  0.4441681       22514.0      0.00760031
  0.4441878       22513.0      0.00774712
  0.4442075       22512.0      0.00789637
  0.4442273       22511.0      0.00804810
  0.4442470       22510.0      0.00820233
  0.4442667       22509.0      0.00835909
  0.4442865       22508.0      0.00851841
  0.4443062       22507.0      0.00868031
  0.4443260       22506.0      0.00884483
  0.4443457       22505.0      0.00901198
  0.4443654       22504.0      0.00918180
  0.4443852       22503.0      0.00935431
  0.4444049       22502.0      0.00952954
  0.4444247       22501.0      0.00970751
  0.4444444       22500.0      0.00988826
  0.4444642       22499.0      0.01007180
  0.4444840       22498.0      0.01025818
  0.4445037       22497.0      0.01044741
  0.4445235       22496.0      0.01063952
  0.4445432       22495.0      0.01083453
  0.4445630       22494.0      0.01103248
  0.4445828       22493.0      0.01123340
  0.4446025       22492.0      0.01143730
  0.4446223       22491.0      0.01164422
  0.4446421       22490.0      0.01185419
  0.4446618       22489.0      0.01206722
