# GOES-R ABI PFM SRF ch 064 CWG release
# wvl [micron],  wavenum [cm-1],  relative SRF
  0.5729346       17454.0      0.00099202
  0.5729674       17453.0      0.00100115
  0.5730002       17452.0      0.00101028
  0.5730331       17451.0      0.00101951
  0.5730659       17450.0      0.00102893
  0.5730987       17449.0      0.00103849
  0.5731316       17448.0      0.00104816
  0.5731644       17447.0      0.00105786
  0.5731973       17446.0      0.00106755
  0.5732302       17445.0      0.00107723
  0.5732630       17444.0      0.00108690
  0.5732959       17443.0      0.00109659
  0.5733287       17442.0      0.00110628
  0.5733616       17441.0      0.00111599
  0.5733945       17440.0      0.00112572
  0.5734274       17439.0      0.00113547
  0.5734603       17438.0      0.00114527
  0.5734931       17437.0      0.00115510
  0.5735260       17436.0      0.00116497
  0.5735589       17435.0      0.00117490
  0.5735918       17434.0      0.00118488
  0.5736247       17433.0      0.00119492
  0.5736576       17432.0      0.00120503
  0.5736906       17431.0      0.00121522
  0.5737235       17430.0      0.00122549
  0.5737564       17429.0      0.00123584
  0.5737893       17428.0      0.00124628
  0.5738222       17427.0      0.00125682
  0.5738552       17426.0      0.00126747
  0.5738881       17425.0      0.00127822
  0.5739210       17424.0      0.00128909
  0.5739540       17423.0      0.00130008
  0.5739869       17422.0      0.00131119
  0.5740199       17421.0      0.00132248
  0.5740528       17420.0      0.00133415
  0.5740858       17419.0      0.00134632
  0.5741187       17418.0      0.00135909
  0.5741517       17417.0      0.00137218
  0.5741847       17416.0      0.00138546
  0.5742176       17415.0      0.00139892
  0.5742506       17414.0      0.00141256
  0.5742836       17413.0      0.00142636
  0.5743166       17412.0      0.00144034
  0.5743495       17411.0      0.00145449
  0.5743825       17410.0      0.00146879
  0.5744155       17409.0      0.00148325
  0.5744485       17408.0      0.00149786
  0.5744815       17407.0      0.00151262
  0.5745145       17406.0      0.00152752
  0.5745475       17405.0      0.00154256
  0.5745806       17404.0      0.00155773
  0.5746136       17403.0      0.00157303
  0.5746466       17402.0      0.00158846
  0.5746796       17401.0      0.00160401
  0.5747126       17400.0      0.00161968
  0.5747457       17399.0      0.00163546
  0.5747787       17398.0      0.00165135
  0.5748117       17397.0      0.00166734
  0.5748448       17396.0      0.00168343
  0.5748778       17395.0      0.00169962
  0.5749109       17394.0      0.00171590
  0.5749439       17393.0      0.00173226
  0.5749770       17392.0      0.00174871
  0.5750101       17391.0      0.00176526
  0.5750431       17390.0      0.00178237
  0.5750762       17389.0      0.00180028
  0.5751093       17388.0      0.00181892
  0.5751423       17387.0      0.00183781
  0.5751754       17386.0      0.00185691
  0.5752085       17385.0      0.00187619
  0.5752416       17384.0      0.00189567
  0.5752747       17383.0      0.00191533
  0.5753078       17382.0      0.00193519
  0.5753409       17381.0      0.00195522
  0.5753740       17380.0      0.00197543
  0.5754071       17379.0      0.00199581
  0.5754402       17378.0      0.00201637
  0.5754733       17377.0      0.00203709
  0.5755064       17376.0      0.00205798
  0.5755396       17375.0      0.00207903
  0.5755727       17374.0      0.00210024
  0.5756058       17373.0      0.00212161
  0.5756390       17372.0      0.00214312
  0.5756721       17371.0      0.00216479
  0.5757052       17370.0      0.00218659
  0.5757384       17369.0      0.00220855
  0.5757715       17368.0      0.00223064
  0.5758047       17367.0      0.00225286
  0.5758378       17366.0      0.00227522
  0.5758710       17365.0      0.00229770
  0.5759042       17364.0      0.00232031
  0.5759373       17363.0      0.00234304
  0.5759705       17362.0      0.00236589
  0.5760037       17361.0      0.00238886
  0.5760369       17360.0      0.00241260
  0.5760701       17359.0      0.00243760
  0.5761032       17358.0      0.00246326
  0.5761364       17357.0      0.00248908
