# GOES-R ABI PFM SRF ch 225 CWG release
# wvl [micron],  wavenum [cm-1],  relative SRF
  2.2815423        4383.0      0.00649662
  2.2820630        4382.0      0.00544738
  2.2825839        4381.0      0.00482797
  2.2831050        4380.0      0.00448117
  2.2836264        4379.0      0.00407463
  2.2841480        4378.0      0.00360986
  2.2846699        4377.0      0.00321511
  2.2851920        4376.0      0.00284495
  2.2857143        4375.0      0.00216368
  2.2862369        4374.0      0.00155351
  2.2867597        4373.0      0.00168997
  2.2872827        4372.0      0.00194031
  2.2878060        4371.0      0.00189371
  2.2883295        4370.0      0.00175949
  2.2888533        4369.0      0.00142905
  2.2893773        4368.0      0.00109643
