# GOES-R ABI PFM SRF ch 086 CWG release
# wvl [micron],  wavenum [cm-1],  relative SRF
  0.8277460       12081.0      0.00098705
  0.8278146       12080.0      0.00100445
  0.8278831       12079.0      0.00102228
  0.8279516       12078.0      0.00104061
  0.8280202       12077.0      0.00105951
  0.8280888       12076.0      0.00107886
  0.8281574       12075.0      0.00109883
  0.8282259       12074.0      0.00111969
  0.8282945       12073.0      0.00114171
  0.8283632       12072.0      0.00116514
  0.8284318       12071.0      0.00119008
  0.8285004       12070.0      0.00121638
  0.8285691       12069.0      0.00124388
  0.8286377       12068.0      0.00127242
  0.8287064       12067.0      0.00130181
  0.8287751       12066.0      0.00133190
  0.8288438       12065.0      0.00136252
  0.8289125       12064.0      0.00139350
  0.8289812       12063.0      0.00142468
  0.8290499       12062.0      0.00145628
  0.8291186       12061.0      0.00148908
  0.8291874       12060.0      0.00152278
  0.8292562       12059.0      0.00155704
  0.8293249       12058.0      0.00159149
  0.8293937       12057.0      0.00162587
  0.8294625       12056.0      0.00166021
  0.8295313       12055.0      0.00169463
  0.8296001       12054.0      0.00172927
  0.8296690       12053.0      0.00176425
  0.8297378       12052.0      0.00179969
  0.8298067       12051.0      0.00183573
  0.8298755       12050.0      0.00187249
  0.8299444       12049.0      0.00191010
  0.8300133       12048.0      0.00194868
  0.8300822       12047.0      0.00198816
  0.8301511       12046.0      0.00202880
  0.8302200       12045.0      0.00207101
  0.8302889       12044.0      0.00211519
  0.8303579       12043.0      0.00216162
  0.8304268       12042.0      0.00220992
  0.8304958       12041.0      0.00225991
  0.8305648       12040.0      0.00231145
  0.8306338       12039.0      0.00236441
  0.8307028       12038.0      0.00241866
  0.8307718       12037.0      0.00247407
  0.8308408       12036.0      0.00253050
  0.8309098       12035.0      0.00258783
  0.8309789       12034.0      0.00264591
  0.8310480       12033.0      0.00270505
  0.8311170       12032.0      0.00276638
  0.8311861       12031.0      0.00282975
  0.8312552       12030.0      0.00289493
  0.8313243       12029.0      0.00296165
  0.8313934       12028.0      0.00302921
  0.8314625       12027.0      0.00309758
  0.8315317       12026.0      0.00316691
  0.8316008       12025.0      0.00323739
  0.8316700       12024.0      0.00330917
  0.8317392       12023.0      0.00338245
  0.8318084       12022.0      0.00345739
  0.8318775       12021.0      0.00353416
  0.8319468       12020.0      0.00361293
  0.8320160       12019.0      0.00369389
  0.8320852       12018.0      0.00377759
  0.8321544       12017.0      0.00386501
  0.8322237       12016.0      0.00395714
  0.8322930       12015.0      0.00405495
  0.8323622       12014.0      0.00415824
  0.8324315       12013.0      0.00426608
  0.8325008       12012.0      0.00437815
  0.8325701       12011.0      0.00449415
  0.8326395       12010.0      0.00461376
  0.8327088       12009.0      0.00473666
  0.8327781       12008.0      0.00486253
  0.8328475       12007.0      0.00499106
