# GOES-R ABI PFM SRF ch 161 CWG release
# wvl [micron],  wavenum [cm-1],  relative SRF
  1.5588465        6415.0      0.00091062
  1.5590895        6414.0      0.00114711
  1.5593326        6413.0      0.00139762
  1.5595758        6412.0      0.00156001
  1.5598191        6411.0      0.00156989
  1.5600624        6410.0      0.00150534
  1.5603058        6409.0      0.00141048
  1.5605493        6408.0      0.00134026
  1.5607929        6407.0      0.00132761
  1.5610365        6406.0      0.00133772
  1.5612803        6405.0      0.00135626
  1.5615240        6404.0      0.00138367
  1.5617679        6403.0      0.00144174
  1.5620119        6402.0      0.00155456
  1.5622559        6401.0      0.00171935
  1.5625000        6400.0      0.00189708
  1.5627442        6399.0      0.00205830
  1.5629884        6398.0      0.00219513
  1.5632328        6397.0      0.00233544
  1.5634772        6396.0      0.00247924
  1.5637217        6395.0      0.00262921
  1.5639662        6394.0      0.00279079
  1.5642109        6393.0      0.00296564
  1.5644556        6392.0      0.00315590
  1.5647004        6391.0      0.00336289
  1.5649452        6390.0      0.00360187
  1.5651902        6389.0      0.00386662
  1.5654352        6388.0      0.00416786
  1.5656803        6387.0      0.00453459
  1.5659255        6386.0      0.00501969
  1.5661707        6385.0      0.00553629
  1.5664160        6384.0      0.00607110
  1.5666614        6383.0      0.00649879
  1.5669069        6382.0      0.00679886
  1.5671525        6381.0      0.00709798
  1.5673981        6380.0      0.00740799
  1.5676438        6379.0      0.00780847
  1.5678896        6378.0      0.00843119
  1.5681355        6377.0      0.00914784
  1.5683814        6376.0      0.00995040
  1.5686275        6375.0      0.01072798
  1.5688735        6374.0      0.01145772
  1.5691197        6373.0      0.01222592
  1.5693660        6372.0      0.01303912
  1.5696123        6371.0      0.01392662
  1.5698587        6370.0      0.01493861
  1.5701052        6369.0      0.01607885
  1.5703518        6368.0      0.01733337
  1.5705984        6367.0      0.01870617
  1.5708451        6366.0      0.02025271
  1.5710919        6365.0      0.02198865
  1.5713388        6364.0      0.02389325
  1.5715857        6363.0      0.02592620
  1.5718328        6362.0      0.02812153
  1.5720799        6361.0      0.03057537
  1.5723270        6360.0      0.03326322
  1.5725743        6359.0      0.03614042
  1.5728216        6358.0      0.03914858
  1.5730691        6357.0      0.04243711
  1.5733166        6356.0      0.04600896
  1.5735641        6355.0      0.04983751
  1.5738118        6354.0      0.05398354
  1.5740595        6353.0      0.05874399
  1.5743073        6352.0      0.06408435
  1.5745552        6351.0      0.06980279
  1.5748031        6350.0      0.07584035
  1.5750512        6349.0      0.08262832
  1.5752993        6348.0      0.09002651
  1.5755475        6347.0      0.09773054
  1.5757958        6346.0      0.10495643
  1.5760441        6345.0      0.11110276
  1.5762926        6344.0      0.11622989
  1.5765411        6343.0      0.12116570
  1.5767897        6342.0      0.12601469
  1.5770383        6341.0      0.13079643
  1.5772871        6340.0      0.13546764
  1.5775359        6339.0      0.14009766
  1.5777848        6338.0      0.14494538
  1.5780338        6337.0      0.15008350
  1.5782828        6336.0      0.15570674
  1.5785320        6335.0      0.16163741
  1.5787812        6334.0      0.16784689
  1.5790305        6333.0      0.17423472
  1.5792798        6332.0      0.18080071
  1.5795293        6331.0      0.18752525
  1.5797788        6330.0      0.19438003
  1.5800284        6329.0      0.20143210
  1.5802781        6328.0      0.20873969
  1.5805279        6327.0      0.21623929
  1.5807777        6326.0      0.22396054
  1.5810277        6325.0      0.23207239
  1.5812777        6324.0      0.24070428
  1.5815278        6323.0      0.24963214
  1.5817779        6322.0      0.25882499
  1.5820282        6321.0      0.26818760
  1.5822785        6320.0      0.27787444
  1.5825289        6319.0      0.28778833
  1.5827794        6318.0      0.29790305
  1.5830299        6317.0      0.30805420
  1.5832806        6316.0      0.31830758
  1.5835313        6315.0      0.32862195
  1.5837821        6314.0      0.33897612
  1.5840329        6313.0      0.34942256
  1.5842839        6312.0      0.35994809
  1.5845349        6311.0      0.37055319
  1.5847861        6310.0      0.38121305
  1.5850372        6309.0      0.39192846
  1.5852885        6308.0      0.40270830
  1.5855399        6307.0      0.41357693
  1.5857913        6306.0      0.42455686
  1.5860428        6305.0      0.43574552
  1.5862944        6304.0      0.44725424
